id,item,link
72852cd6,heartatriumleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_heart_atrium_left.nii.g_1.stl
ca490f0b,aorta,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_aorta.nii.g_1.stl
0d60955d,iliacarteryleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_iliac_artery_left.nii.g_1.stl
58eb3ac6,heartventricleleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_heart_ventricle_left.nii.g_1.stl
ddba5fa8,lungupperloberight,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_lung_upper_lobe_right.nii.g_1.stl
4d39aed1,gallbladder,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_gallbladder.nii.g_1.stl
240a23eb,claviculaleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_clavicula_left.nii.g_1.stl
cbd3b84d,heartmyocardium,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_heart_myocardium.nii.g_1.stl
9ee076b7,esophagus,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_esophagus.nii.g_1.stl
fada2c0f,gluteusminimusleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_gluteus_minimus_left.nii.g_1.stl
f136552a,duodenum,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_duodenum.nii.g_1.stl
136d2317,vertebraeT8,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T8.nii.g_1.stl
abf46dd8,heartventricleright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_heart_ventricle_right.nii.g_1.stl
7b80fa28,pancreas,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_pancreas.nii.g_1.stl
de995777,iliopsoasright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_iliopsoas_right.nii.g_1.stl
9cd2b14f,sacrum,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_sacrum.nii.g_1.stl
d050f982,vertebraeT7,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T7.nii.g_1.stl
ac0e21c0,gluteusmediusleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_gluteus_medius_left.nii.g_1.stl
83b52e42,lunglowerloberight,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_lung_lower_lobe_right.nii.g_1.stl
df253b09,iliopsoasleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_iliopsoas_left.nii.g_1.stl
a896a4f9,hipright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_hip_right.nii.g_1.stl
be8dc416,liver,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_liver.nii.g_1.stl
e54bfa2a,adrenalglandleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_adrenal_gland_left.nii.g_1.stl
44e51c48,iliacvenaright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_iliac_vena_right.nii.g_1.stl
c5013e96,iliacarteryright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_iliac_artery_right.nii.g_1.stl
38009831,humerusright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_humerus_right.nii.g_1.stl
2f468f7a,vertebraeT12,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T12.nii.g_1.stl
35b66e5f,femurright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_femur_right.nii.g_1.stl
3a9a019e,colon,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_colon.nii.g_1.stl
0583d73b,vertebraeT4,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T4.nii.g_1.stl
b0a89056,vertebraeT9,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T9.nii.g_1.stl
b4bcbcf1,liver,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s1273_liver.nii.g_1.stl
e2aac6da,lungupperlobeleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_lung_upper_lobe_left.nii.g_1.stl
d5bf6800,kidneyleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_kidney_left.nii.g_1.stl
